"Name" "Item" "piece" "O" "Na" "Mg" "Alu" "Si" "K" "Ca" "Fe" "Type"
"1" "b1" 1 1 47.7056726421494 10.4072402190735 1.66338199420758 1.61777008292403 34.0251008635032 0.94 3.68694643457208 0 "b"
"2" "b1" 1 1 47.6967499350664 10.2867836749624 1.63663580591387 1.56374273351895 34.2361128539145 0.91 3.7014910191489 0 "b"
"3" "b1" 1 1 47.6622030460599 10.528456765838 1.7157192864872 1.57147666619358 33.9212480727702 0.98 3.69001102897765 0 "b"
"4" "b1" 1 2 48.8767625296213 11.4374486831611 1.69204811714453 1.49680847356569 32.0606486589772 0.82 3.60794738974238 0 "b"
"5" "b1" 1 2 48.7099490378281 11.318677807749 1.75358386424667 1.53186576289317 32.1750101896308 0.85 3.57797240248487 0 "b"
"6" "b1" 1 2 48.3955096775766 11.3225663631644 1.6908462636994 1.56576524338494 32.6240668823161 0.85 3.6016845915182 0 "b"
"7" "b1" 1 3 46.086810513693 10.457621723186 1.69381149038341 1.54835075921577 35.1288364910639 0.96 4.22642918518792 0 "b"
"8" "b1" 1 3 45.4579000157312 10.3211602890155 1.56719744959809 1.53793351295718 35.6292465664739 1 4.47040569438395 0 "b"
"9" "b1" 1 3 44.7420145312519 9.80939281913211 1.55124133464923 1.53808882157822 36.7163324190967 1.15 4.57276146651479 0 "b"
"10" "b1" 1 4 48.3406755110078 10.8769004774093 1.70286482000944 1.53238380582998 32.9873315742918 0.9 3.71759243042345 0 "b"
"11" "b1" 1 4 47.8384666665363 11.1427548608258 1.71656526831157 1.52084479574084 33.1986581762349 0.89 3.74307546804623 0 "b"
"12" "b1" 1 4 48.4714734299195 11.0050634576829 1.70916626707825 1.53386410735876 32.8498187349293 0.84 3.67289297012783 0 "b"
"13" "b2" 2 1 46.2181786423865 10.6886266337537 1.91593318857923 0.991376142693723 35.807915633412 0 4.50456556549319 0 "b"
"14" "b2" 2 1 45.8390574973133 10.8052338495945 1.92326976524676 0.959869626898384 36.0074042778823 0 4.59366649785426 0 "b"
"15" "b2" 2 1 47.048888373476 11.2717809829114 1.92695220233649 0.93435704707851 34.8434467190896 0 4.0917250601879 0 "b"
"16" "b2" 2 2 47.9334899048045 11.4056593959366 1.99079617468586 0.893533949074877 34.0506224847434 0 3.89438599309191 0 "b"
"17" "b2" 2 2 47.5882481420071 11.1458634328976 1.89336929534435 0.957287410323075 34.546623029758 0 3.98199429892021 0 "b"
"18" "b2" 2 2 47.1898115513276 11.0322265616507 1.96365288695029 0.868125530376637 34.8559318260742 0 4.24346604073383 0 "b"
"19" "b2" 2 3 50.7547902940318 11.7343471115607 1.94437168350699 0.934810326980598 31.3665493493261 0 3.35526180131446 0 "b"
"20" "b2" 2 3 50.7694350974337 11.8968525074485 2.0229922811762 0.903117056099154 31.2091993860467 0 3.30348290150275 0 "b"
"21" "b2" 2 3 51.081303171719 11.8946851477809 2.05297455504843 0.911619299733621 30.8764525608681 0 3.28320900737321 0 "b"
"22" "b2" 2 4 48.6433446807943 11.5068364552595 1.98256226296726 0.864612864087915 33.2807990382448 0 3.79097258478908 0 "b"
"23" "b2" 2 4 48.8906746373908 11.6308841092877 1.95368646166912 0.925407773255447 33.0612416066201 0 3.59333232416102 0 "b"
"24" "b2" 2 4 48.6411872603384 11.4863767571081 2.02543711359493 0.876394530597445 33.364354822721 0 3.71809646980467 0 "b"
"25" "b3" 3 1 49.67536750748 11.8356876839651 2.00630615700438 0.928976071988511 31.9983508162903 0.07 3.26817907699107 0 "b"
"26" "b3" 3 1 48.4919416984617 11.5199167922517 1.95771983132299 0.95875087034193 33.137444647754 0.11 3.64022427096654 0 "b"
"27" "b3" 3 1 49.8781876299003 11.9787717020115 2.08755871341968 0.943569617013054 31.5554141271042 0.09 3.30566834279806 0 "b"
"28" "b3" 3 2 49.357811294443 11.9235952558299 1.99882015699177 0.980986493725647 32.1124376892769 0.08 3.32559364916339 0 "b"
"29" "b3" 3 2 49.3794377320516 11.7689026423839 2.05071734435164 0.998379585306822 32.1578848424354 0.09 3.36583181704049 0 "b"
"30" "b3" 3 2 49.2847752771797 11.7296264359759 2.00177039542172 1.06189600449509 32.3205178233596 0.09 3.34457779151002 0 "b"
"31" "b3" 3 3 45.8353700297876 10.9835826640037 1.958771711584 0.994897407029115 35.5937360846889 0.16 4.29654573870998 0 "b"
"32" "b3" 3 3 45.4868311051693 10.7214214417895 1.85551809860377 0.907557056431677 36.1859851212947 0.15 4.55897425511307 0 "b"
"33" "b3" 3 3 45.4421973163454 10.76013944441 1.82877750143404 0.902192723366287 36.161871256663 0.15 4.52126011686305 0 "b"
"34" "b3" 3 4 45.7449151935159 10.9005704908187 1.87834425181626 0.900477125831766 35.7485553295696 0.13 4.48917420535965 0 "b"
"35" "b3" 3 4 46.0966009799608 11.0578447219747 1.90461306518655 0.923837173599639 35.4741190018838 0.13 4.25408766973857 0 "b"
"36" "b3" 3 4 45.2553376905516 10.7938440922717 1.92520969648411 0.882385403878999 36.1954047687095 0.14 4.63424827489929 0 "b"
"37" "b4" 4 1 47.0176246623274 10.972858174399 1.95768278692915 0.942042714229412 35.0818039090565 0.15 3.92808401502015 0 "b"
"38" "b4" 4 1 47.2882602297056 10.9764049263337 2.00200073198641 0.982743526437133 34.7355792519149 0.12 3.9953648446115 0 "b"
"39" "b4" 4 1 47.2682033685307 10.9379077458532 2.0088056685958 0.969036552329216 34.8387622572705 0.1 3.98183868751408 0 "b"
"40" "b4" 4 2 48.8891837660046 11.6110706586231 1.9985861227408 0.940879666731963 33.0042808644644 0.08 3.53085980616511 0 "b"
"41" "b4" 4 2 49.2932559609423 11.7898642152747 2.06909360916893 0.940435306887529 32.3591426038639 0.16 3.43141188002085 0 "b"
"42" "b4" 4 2 48.8772258162332 11.584970748759 2.00256802979193 0.912759450833248 33.0117417026831 0.12 3.55824893710509 0 "b"
"43" "b4" 4 3 47.195427394294 11.3283104672285 1.94845513264753 0.871750283983447 34.5816447004215 0.11 3.99689161838299 0 "b"
"44" "b4" 4 3 47.4883576888647 11.4108196442653 2.01507756164293 0.904543048481442 34.2882283071405 0.1 3.91077835142996 0 "b"
"45" "b4" 4 3 47.0427312406937 11.2105941664711 1.92677171588733 0.942696567971668 34.7642890575218 0.1 4.06719964399741 0 "b"
"46" "b4" 4 4 50.6770705513958 12.3370381324307 2.11373409182162 0.941878776115888 30.7720769899509 0.11 3.14143784832498 0 "b"
"47" "b4" 4 4 50.8318378726881 12.28997970447 2.07035374650093 0.887441292658374 30.7891330517237 0.07 3.13182387442139 0 "b"
"48" "b4" 4 4 50.8197839569106 12.2565906857127 2.12263437656485 0.917733993236704 30.7611135745501 0.1 3.05115146491328 0 "b"
"49" "b5" 5 1 46.2142573374791 11.0898628365629 1.96975857136605 0.930513333462117 35.3142716196551 0.12 4.24428095541523 0 "b"
"50" "b5" 5 1 46.6473118597057 11.2435800350861 1.96138488159416 0.908181143069888 34.8139967767329 0.15 4.12437762829045 0 "b"
"51" "b5" 5 1 44.0830320723825 10.4904511518221 1.77007599650865 0.87627505570684 37.5353681781807 0.1 4.96341694433729 0 "b"
"52" "b5" 5 2 46.8238184624574 10.9760534281272 2.04132435424916 0.879997988238515 34.6261710638976 0.14 4.40682727639563 0 "b"
"53" "b5" 5 2 47.4261330135023 10.7430325215345 1.91155576575663 0.91370582066867 34.3631664845941 0.09 4.54725660667202 0 "b"
"54" "b5" 5 2 46.4549167469515 11.0600752904075 1.97634181341861 0.921316443558541 35.0307944761205 0.15 4.27945936483418 0 "b"
"55" "b5" 5 3 49.3080228223201 11.927288760882 2.02121879667331 0.869427802603765 32.3197403883236 0.07 3.47000088785742 0 "b"
"56" "b5" 5 3 49.2818710574597 11.9644979819496 2.02413793438238 0.891442220500836 32.2806290994564 0.09 3.36988615268242 0 "b"
"57" "b5" 5 3 49.4058160477049 12.0193303564098 2.06912806259652 0.891022503581155 32.0863598925987 0.09 3.38485867616414 0 "b"
"58" "b5" 5 4 44.9096702989784 10.6461939755796 1.93502476182717 0.948223960021604 36.4232917684217 0.13 4.87435783645981 0 "b"
"59" "b5" 5 4 44.5726101019474 10.6157929908114 1.92367331009305 0.920305640853649 36.8180550037645 0.14 4.89743563671579 0 "b"
"60" "b5" 5 4 45.0841521693263 10.6793866960214 1.91209719801053 0.889905206023053 36.5519549704394 0.15 4.67195528441816 0 "b"
"61" "b6" 6 1 49.6409424961323 9.91480937995686 1.60177537832623 1.50805658675575 33.3871445614809 0.88 3.10554073998487 0 "b"
"62" "b6" 6 1 49.7635526222035 9.85420370966505 1.60288695001822 1.56726470643631 33.1665410676086 0.86 3.22195935288498 0 "b"
"63" "b6" 6 1 49.7101956927669 9.89533812181775 1.62062455962756 1.61088318006326 33.2017242758761 0.86 3.22492348307631 0 "b"
"64" "b6" 6 2 49.2579838381691 11.3229619783799 1.63365183347434 1.59175027995148 31.8315197143544 0.84 3.56131487306932 0 "b"
"65" "b6" 6 2 48.270935925621 11.25658820876 1.65292347172867 1.60909681551784 32.5524997114883 0.9 3.78535097868548 0 "b"
"66" "b6" 6 2 46.9213814335217 11.0326583397171 1.65904526012747 1.64220790781941 33.8193842549143 0.87 4.11263890982519 0 "b"
"67" "b6" 6 3 47.4016571834608 10.9432257095128 1.63070892792525 1.53537705189287 33.6003084211069 0.94 4.00804377877466 0 "b"
